"BoW"	0.471121203367	(1760, 79432)
"hashtag numhashtag mention nummention punctuation_marks"	0.450930635325	(1760, 2214)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	0.367247297896	(1760, 9)
"phase"	0.352489564864	(1760, 3)
"community"	0.637497605329	(1760, 7)
"parties_knowledge politics_knowledge target"	0.34967900478	(1760, 10)
"BoW hashtag numhashtag mention nummention punctuation_marks"	0.473326854959	(1760, 81646)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	0.453526912843	(1760, 79441)
"BoW phase"	0.471621877413	(1760, 79435)
"BoW community"	0.618537573151	(1760, 79439)
"BoW parties_knowledge politics_knowledge target"	0.440572977342	(1760, 79442)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	0.437425055059	(1760, 2223)
"hashtag numhashtag mention nummention punctuation_marks phase"	0.459198875089	(1760, 2217)
"hashtag numhashtag mention nummention punctuation_marks community"	0.609764305455	(1760, 2221)
"hashtag numhashtag mention nummention punctuation_marks parties_knowledge politics_knowledge target"	0.446305090023	(1760, 2224)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	0.374227998362	(1760, 12)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	0.54642479874	(1760, 16)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal parties_knowledge politics_knowledge target"	0.381556787748	(1760, 19)
"phase community"	0.637471135368	(1760, 10)
"phase parties_knowledge politics_knowledge target"	0.378613971822	(1760, 13)
"community parties_knowledge politics_knowledge target"	0.623970360227	(1760, 17)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	0.454198789183	(1760, 81655)
"BoW hashtag numhashtag mention nummention punctuation_marks phase"	0.477588767987	(1760, 81649)
"BoW hashtag numhashtag mention nummention punctuation_marks community"	0.603021492099	(1760, 81653)
"BoW hashtag numhashtag mention nummention punctuation_marks parties_knowledge politics_knowledge target"	0.473781950178	(1760, 81656)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	0.468563996973	(1760, 79444)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	0.636549731307	(1760, 79448)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal parties_knowledge politics_knowledge target"	0.447600346694	(1760, 79451)
"BoW phase community"	0.624793099595	(1760, 79442)
"BoW phase parties_knowledge politics_knowledge target"	0.464234594013	(1760, 79445)
"BoW community parties_knowledge politics_knowledge target"	0.611045231	(1760, 79449)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	0.433263075725	(1760, 2226)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	0.580692537937	(1760, 2230)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal parties_knowledge politics_knowledge target"	0.435730301328	(1760, 2233)
"hashtag numhashtag mention nummention punctuation_marks phase community"	0.585986940263	(1760, 2224)
"hashtag numhashtag mention nummention punctuation_marks phase parties_knowledge politics_knowledge target"	0.460751129868	(1760, 2227)
"hashtag numhashtag mention nummention punctuation_marks community parties_knowledge politics_knowledge target"	0.589204624375	(1760, 2231)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase community"	0.541909410476	(1760, 19)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase parties_knowledge politics_knowledge target"	0.387321057165	(1760, 22)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community parties_knowledge politics_knowledge target"	0.529643370885	(1760, 26)
"phase community parties_knowledge politics_knowledge target"	0.577032742473	(1760, 20)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	0.450409076475	(1760, 81658)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	0.628563235812	(1760, 81662)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal parties_knowledge politics_knowledge target"	0.452354754834	(1760, 81665)
"BoW hashtag numhashtag mention nummention punctuation_marks phase community"	0.602884016391	(1760, 81656)
"BoW hashtag numhashtag mention nummention punctuation_marks phase parties_knowledge politics_knowledge target"	0.475264120139	(1760, 81659)
"BoW hashtag numhashtag mention nummention punctuation_marks community parties_knowledge politics_knowledge target"	0.597097983673	(1760, 81663)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase community"	0.632303357313	(1760, 79451)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase parties_knowledge politics_knowledge target"	0.469047001803	(1760, 79454)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community parties_knowledge politics_knowledge target"	0.62916244478	(1760, 79458)
