"BoW"	1	0.534412498035	(1761, 24749)
"hashtag numhashtag mention nummention punctuation_marks"	1	0.508842467232	(1761, 862)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	1	0.422550685595	(1761, 9)
"phase"	1	0.35996585511	(1761, 3)
"community"	1	0.670755553113	(1761, 7)
"parties_knowledge politics_knowledge target"	1	0.359870897169	(1761, 9)
"BoW hashtag numhashtag mention nummention punctuation_marks"	1	0.568626564905	(1761, 25611)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	1	0.523471434071	(1761, 24758)
"BoW phase"	1	0.53456888051	(1761, 24752)
"BoW community"	1	0.680283368202	(1761, 24756)
"BoW parties_knowledge politics_knowledge target"	1	0.551119189352	(1761, 24758)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	1	0.518239290676	(1761, 871)
"hashtag numhashtag mention nummention punctuation_marks phase"	1	0.511329449833	(1761, 865)
"hashtag numhashtag mention nummention punctuation_marks community"	1	0.673364549574	(1761, 869)
"hashtag numhashtag mention nummention punctuation_marks parties_knowledge politics_knowledge target"	1	0.515092438506	(1761, 871)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	1	0.422377362748	(1761, 12)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	1	0.556272034239	(1761, 16)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal parties_knowledge politics_knowledge target"	1	0.466014039162	(1761, 18)
"phase community"	1	0.670755553113	(1761, 10)
"phase parties_knowledge politics_knowledge target"	1	0.359870897169	(1761, 12)
"community parties_knowledge politics_knowledge target"	1	0.651047970985	(1761, 16)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	1	0.514428817803	(1761, 25620)
"BoW hashtag numhashtag mention nummention punctuation_marks phase"	1	0.567136901882	(1761, 25614)
"BoW hashtag numhashtag mention nummention punctuation_marks community"	1	0.669521926777	(1761, 25618)
"BoW hashtag numhashtag mention nummention punctuation_marks parties_knowledge politics_knowledge target"	1	0.57294464245	(1761, 25620)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	1	0.522201630887	(1761, 24761)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	1	0.662792216052	(1761, 24765)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal parties_knowledge politics_knowledge target"	1	0.531934317351	(1761, 24767)
"BoW phase community"	1	0.684258681887	(1761, 24759)
"BoW phase parties_knowledge politics_knowledge target"	1	0.549232613969	(1761, 24761)
"BoW community parties_knowledge politics_knowledge target"	1	0.67701677708	(1761, 24765)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	1	0.519316764454	(1761, 874)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	1	0.642642501381	(1761, 878)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal parties_knowledge politics_knowledge target"	1	0.500253176175	(1761, 880)
"hashtag numhashtag mention nummention punctuation_marks phase community"	1	0.669973166905	(1761, 872)
"hashtag numhashtag mention nummention punctuation_marks phase parties_knowledge politics_knowledge target"	1	0.516442638608	(1761, 874)
"hashtag numhashtag mention nummention punctuation_marks community parties_knowledge politics_knowledge target"	1	0.648081246601	(1761, 878)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase community"	1	0.560002717662	(1761, 19)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase parties_knowledge politics_knowledge target"	1	0.462278614904	(1761, 21)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community parties_knowledge politics_knowledge target"	1	0.586873259873	(1761, 25)
"phase community parties_knowledge politics_knowledge target"	1	0.65109750422	(1761, 19)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	1	0.516016893756	(1761, 25623)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	1	0.653248237487	(1761, 25627)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal parties_knowledge politics_knowledge target"	1	0.543438029527	(1761, 25629)
"BoW hashtag numhashtag mention nummention punctuation_marks phase community"	1	0.66719033093	(1761, 25621)
"BoW hashtag numhashtag mention nummention punctuation_marks phase parties_knowledge politics_knowledge target"	1	0.571861592489	(1761, 25623)
"BoW hashtag numhashtag mention nummention punctuation_marks community parties_knowledge politics_knowledge target"	1	0.674506767229	(1761, 25627)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase community"	1	0.661464907757	(1761, 24768)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase parties_knowledge politics_knowledge target"	1	0.530025957354	(1761, 24770)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community parties_knowledge politics_knowledge target"	1	0.652995216234	(1761, 24774)
"BoW phase community parties_knowledge politics_knowledge target"	1	0.675739675657	(1761, 24768)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase community"	1	0.641737019371	(1761, 881)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase parties_knowledge politics_knowledge target"	1	0.50526338289	(1761, 883)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community parties_knowledge politics_knowledge target"	1	0.625242031787	(1761, 887)
"hashtag numhashtag mention nummention punctuation_marks phase community parties_knowledge politics_knowledge target"	1	0.64916206894	(1761, 881)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase community parties_knowledge politics_knowledge target"	1	0.589501730592	(1761, 28)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase community"	1	0.65003928965	(1761, 25630)
