"BoW"	1	0.526247089083	(1761, 24749)
"hashtag numhashtag mention nummention punctuation_marks"	1	0.288538043338	(1761, 862)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	1	0.332224015707	(1761, 9)
"phase"	1	0.35996585511	(1761, 3)
"community"	1	0.33952904464	(1761, 7)
"parties_knowledge politics_knowledge target"	1	0.0286253477913	(1761, 9)
"BoW hashtag numhashtag mention nummention punctuation_marks"	1	0.527916822764	(1761, 25611)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	1	0.526247089083	(1761, 24758)
"BoW phase"	1	0.526247089083	(1761, 24752)
"BoW community"	1	0.53555768901	(1761, 24756)
"BoW parties_knowledge politics_knowledge target"	1	0.526621895433	(1761, 24758)
"hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	1	0.288538043338	(1761, 871)
"hashtag numhashtag mention nummention punctuation_marks phase"	1	0.288538043338	(1761, 865)
"hashtag numhashtag mention nummention punctuation_marks community"	1	0.311675270192	(1761, 869)
"hashtag numhashtag mention nummention punctuation_marks parties_knowledge politics_knowledge target"	1	0.288538043338	(1761, 871)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	1	0.332224015707	(1761, 12)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	1	0.475644540896	(1761, 16)
"sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal parties_knowledge politics_knowledge target"	1	0.179902188165	(1761, 18)
"phase community"	1	0.33952904464	(1761, 10)
"phase parties_knowledge politics_knowledge target"	1	0.0286253477913	(1761, 12)
"community parties_knowledge politics_knowledge target"	1	0.302193546331	(1761, 16)
"BoW hashtag numhashtag mention nummention punctuation_marks sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal"	1	0.527916822764	(1761, 25620)
"BoW hashtag numhashtag mention nummention punctuation_marks phase"	1	0.527916822764	(1761, 25614)
"BoW hashtag numhashtag mention nummention punctuation_marks community"	1	0.536219116726	(1761, 25618)
"BoW hashtag numhashtag mention nummention punctuation_marks parties_knowledge politics_knowledge target"	1	0.527916822764	(1761, 25620)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal phase"	1	0.526247089083	(1761, 24761)
"BoW sentiment_afinn sentiment_liwc sentiment_hl sentiment_dal community"	1	0.53555768901	(1761, 24765)
