"community","Leave","Remain","None","Disagreement"
"A","29.63","11.11","56.79","2.47"
"B","84.61","0.37","14.28","0.73"
"C","26.31","17.02","54.38","2.28"
"D","18.96","57.47","18.39","5.17"
"E","85.6","2.37","10.06","1.97"
"F","75","0","22.92","2.08"
